pdbid,-logKd/Ki,set
3i91,3.3,general
3l7g,3.3,general
3n1v,3.3,general
3n1w,3.3,general
3n3l,3.3,general
3n45,3.3,general
4b6f,3.3,general
4ddh,3.3,core
4gj8,3.3,general
4gj9,3.3,general
4jss,3.3,refined
4mrw,3.3,core
4msa,3.3,refined
4np3,3.3,refined
4ojq,3.3,general
4oue,3.3,general
4tz8,3.3,general
4u6e,3.3,general
4ucr,3.3,general
4x13,3.3,general
1i2s,3.31,refined
1pzp,3.31,refined
3msc,3.31,general
4kc2,3.31,general
5c7a,3.31,general
1pzo,3.32,refined
2wk6,3.32,refined
4a4e,3.32,general
4cjp,3.32,refined
4i7j,3.32,refined
188l,3.33,refined
1jlr,3.33,refined
2a3b,3.33,general
2pnc,3.33,refined
4ab9,3.33,refined
4b0b,3.33,refined
4b5t,3.33,refined
4b5w,3.33,refined
4k2y,3.33,general
4pd9,3.33,general
2xoi,3.34,general
3f33,3.34,refined
3ry8,3.34,general
4b32,3.34,refined
4bt4,3.34,refined
4cp5,3.34,refined
4gwk,3.34,general
4yuy,3.34,general
2qcm,3.35,general
3c2o,3.35,refined
3pwk,3.35,refined
3zxe,3.35,general
4gnf,3.35,general
4joh,3.35,general
4lkq,3.35,refined
4ucu,3.35,general
4wet,3.35,general
1ahy,3.36,general
2ha7,3.36,general
2pvv,3.36,general
2vc7,3.36,refined
3av9,3.36,general
3zzh,3.36,general
4cj4,3.36,refined
4wyp,3.36,general
187l,3.37,refined
1tnh,3.37,refined
1v2u,3.37,refined
1v2v,3.37,general
2c6g,3.37,general
3d8z,3.37,refined
3n35,3.37,refined
4b33,3.37,refined
4mrd,3.37,general
1z34,3.38,general
2fzg,3.38,refined
3a73,3.38,general
3tay,3.38,refined
3w07,3.38,refined
4qll,3.38,refined
1toj,3.39,refined
2j9h,3.39,general
3mrx,3.39,general
4ipn,3.39,refined
4lhm,3.39,refined
4ms0,3.39,general
1bxr,3.4,refined
1f8d,3.4,refined
1hxk,3.4,general
1ikt,3.4,refined
1il9,3.4,general
1jt1,3.4,general
1l83,3.4,refined
1m83,3.4,refined
1uz4,3.4,refined
1way,3.4,general
220l,3.4,general
223l,3.4,general
2jbu,3.4,general
2jqk,3.4,general
2q8i,3.4,general
2qcd,3.4,general
2rnx,3.4,general
2vvp,3.4,refined
3d8y,3.4,refined
3jzh,3.4,refined
3k26,3.4,general
4abe,3.4,refined
5afl,3.4,general
2v2c,3.41,refined
3nba,3.41,general
4yas,3.41,general
1hyz,3.42,general
2qtn,3.42,refined
2sim,3.42,refined
2w08,3.42,refined
3iob,3.42,refined
3kqp,3.42,general
3muk,3.42,general
3px9,3.42,general
4c71,3.42,general
4d8a,3.42,general
4llj,3.42,refined
4mi9,3.42,general
4n8q,3.42,refined
1kti,3.43,general
1ywi,3.43,general
2c57,3.43,general
2wig,3.43,general
2xog,3.43,refined
3axz,3.43,refined
3ms7,3.43,general
4k67,3.43,general
4kw6,3.43,general
2xp5,3.44,general
3as2,3.44,general
4b4n,3.44,general
4umc,3.44,refined
3nik,3.45,refined
4c6z,3.45,general
1moq,3.46,refined
1t48,3.46,general
1wcc,3.46,general
2wi2,3.46,general
2wi3,3.46,general
2zfi,3.46,general
3blu,3.46,general
3dla,3.46,general
3muz,3.46,refined
3nil,3.46,general
3nuy,3.46,general
4bhf,3.46,general
4gby,3.46,general
4k5p,3.46,refined
4nrq,3.46,general
4qp6,3.46,general
4tz2,3.46,refined
3mtd,3.47,general
3nf7,3.47,general
3ta0,3.47,refined
4d2d,3.47,general
4epy,3.47,refined
4h42,3.47,refined
5ai4,3.47,general
1osv,3.48,general
1tsi,3.48,general
2c90,3.48,general
2f10,3.48,general
2p3i,3.48,refined
3d9m,3.48,general
3g1d,3.48,refined
3gx0,3.48,refined
3nyd,3.48,refined
4k7n,3.48,refined
1c5o,3.49,refined
1gzc,3.49,general
1pzj,3.49,general
1utn,3.49,refined
2ggx,3.49,general
2qcf,3.49,general
3d1v,3.49,general
4avs,3.49,refined
4b5s,3.49,refined
4nyj,3.49,general
5ak6,3.49,general
3fcl,3.5,general
4i7p,3.5,refined
4n3w,3.5,general
4wey,3.5,general
1gz9,3.51,general
2ohm,3.51,general
2r0h,3.51,refined
3nus,3.51,general
4lpf,3.51,general
5cp9,3.51,refined
1imx,3.52,general
1jys,3.52,refined
1o4d,3.52,general
1o4f,3.52,general
1ysg,3.52,general
2fyv,3.52,general
2j27,3.52,refined
2vw1,3.52,refined
3c14,3.52,general
3lcu,3.52,refined
3mfw,3.52,refined
3qw6,3.52,general
3tf7,3.52,general
3zlv,3.52,general
3zly,3.52,general
4c70,3.52,general
4eky,3.52,core
4g93,3.52,general
4hv7,3.52,general
4mrz,3.52,core
4oyo,3.52,general
2b4m,3.53,general
2y67,3.53,general
3avf,3.53,general
3h06,3.53,general
3nf6,3.53,general
4eh3,3.53,general
4nmr,3.53,general
4orx,3.53,general
4ory,3.53,general
185l,3.54,refined
1vjd,3.54,general
2jbv,3.54,general
2o9v,3.54,general
3blt,3.54,general
3bm8,3.54,general
3nf9,3.54,general
3obq,3.54,refined
4gng,3.54,general
1v2r,3.55,refined
2ay3,3.55,general
2cle,3.55,refined
2clf,3.55,general
2clm,3.55,general
2hwg,3.55,general
2qwc,3.55,refined
2xah,3.55,general
3pjg,3.55,general
3qvu,3.55,general
4aji,3.55,refined
4k3m,3.55,general
4mjr,3.55,general
4n98,3.55,general
4nym,3.55,general
5av0,3.55,general
5btx,3.55,refined
2hrm,3.56,general
2lsp,3.56,general
2ycm,3.56,general
4joe,3.56,general
1h46,3.57,refined
1jwm,3.57,general
1np0,3.57,refined
2l1r,3.57,general
2rly,3.57,general
3ej5,3.57,general
3ff3,3.57,refined
4abg,3.57,core
4ck3,3.57,refined
4ibb,3.57,refined
4q8x,3.57,refined
4xm7,3.57,general
5a7b,3.57,core
1vjc,3.58,general
3dx1,3.58,core
4g19,3.58,general
4y63,3.58,general
1gww,3.59,general
1nli,3.59,refined
2gsu,3.59,refined
2nn8,3.59,general
2pgj,3.59,general
2pgl,3.59,general
3sl1,3.59,general
4cd6,3.59,general
4cjq,3.59,refined
4k3r,3.59,general
4q7v,3.59,refined
1bo5,3.6,general
1d1p,3.6,general
1d7i,3.6,refined
1qw7,3.6,general
1uys,3.6,general
1w31,3.6,general
1zd4,3.6,general
2bgr,3.6,general
2fzk,3.6,refined
2oq6,3.6,general
2q6h,3.6,general
2qch,3.6,general
2qpu,3.6,refined
2wp1,3.6,general
2xdk,3.6,refined
2y68,3.6,general
3afk,3.6,refined
3b3x,3.6,refined
3bb1,3.6,general
3g0i,3.6,refined
3jdw,3.6,refined
3kn0,3.6,general
3m3o,3.6,refined
3pke,3.6,general
3t2p,3.6,general
4b3b,3.6,refined
4c1y,3.6,refined
4meo,3.6,general
4meq,3.6,general
8gpb,3.6,general
1g9s,3.61,general
2kff,3.61,general
2l98,3.61,general
2vfz,3.61,general
3ftu,3.61,general
3jzj,3.61,refined
3sk2,3.61,refined
4a4c,3.61,general
4ln2,3.61,general
4qp1,3.61,general
5c91,3.61,general
1pb9,3.62,refined
3pcc,3.62,general
3st6,3.62,general
3udj,3.62,general
4bkt,3.62,core
4fxj,3.62,general
4nrc,3.62,general
4rrf,3.62,refined
4wy3,3.62,general
4yym,3.62,general
3fuj,3.63,general
3jpx,3.63,general
3rxm,3.63,general
4mm7,3.63,general
5dqe,3.63,refined
1gyy,3.64,refined
1j5i,3.64,general
2azr,3.64,refined
2pem,3.64,general
2qwg,3.64,general
2rk8,3.64,refined
3px8,3.64,general
4bdi,3.64,general
4gui,3.64,general
4iuo,3.64,refined
1b9v,3.65,general
3vws,3.65,general
4agl,3.65,refined
4y4v,3.65,general
1l6y,3.66,general
2qv7,3.66,refined
2rny,3.66,general
2v00,3.66,core
3buh,3.66,refined
3ex6,3.66,general
3iny,3.66,general
3oy8,3.66,refined
3pcn,3.66,refined
3t2q,3.66,refined
3tsd,3.66,general
4aia,3.66,refined
4fl2,3.66,refined
2bve,3.67,general
3fts,3.67,general
3h2m,3.67,general
3h2n,3.67,general
4cig,3.67,core
4ibd,3.67,refined
4lnp,3.67,general
4mww,3.67,general
4n99,3.67,general
1c3x,3.68,refined
1qsc,3.68,general
2x6x,3.68,refined
2za3,3.68,general
3ioc,3.68,refined
3isj,3.68,refined
3uwl,3.68,general
4aje,3.68,refined
4io7,3.68,refined
4isu,3.68,refined
4mx1,3.68,general
4oru,3.68,general
1l2z,3.69,general
2a8g,3.69,refined
3clp,3.69,general
3d7b,3.69,refined
4gwi,3.69,general
4ovg,3.69,refined
4tte,3.69,refined
5ai0,3.69,general
1bcj,3.7,general
1e37,3.7,general
1fwu,3.7,general
1gz3,3.7,general
1gz4,3.7,refined
1h0r,3.7,general
1i43,3.7,general
1loq,3.7,refined
1pdz,3.7,refined
1uy6,3.7,general
1uy7,3.7,general
1uyd,3.7,general
1uye,3.7,general
1w70,3.7,general
1wht,3.7,refined
2bjm,3.7,general
2bmz,3.7,general
2bvr,3.7,refined
2fx6,3.7,refined
3ex2,3.7,general
3ful,3.7,general
3kd7,3.7,general
3l59,3.7,refined
3mrt,3.7,general
3n7a,3.7,core
3zlw,3.7,general
4ayt,3.7,general
4ayx,3.7,general
4b2d,3.7,general
4kza,3.7,general
4l7h,3.7,general
4l7j,3.7,general
4o4k,3.7,general
4pji,3.7,general
5c6o,3.7,general
5c6p,3.7,general
2vfk,3.71,refined
3fj7,3.71,refined
3g32,3.71,refined
3wkc,3.71,general
4k5m,3.71,general
4mjq,3.71,general
1ai5,3.72,refined
1fwv,3.72,general
1grp,3.72,refined
1ugy,3.72,general
2am4,3.72,refined
2h9p,3.72,general
2r23,3.72,refined
2yde,3.72,general
3f5l,3.72,refined
3ms2,3.72,general
3q6z,3.72,refined
4jog,3.72,general
4tk1,3.72,general
4tk2,3.72,general
4tln,3.72,refined
4ufm,3.72,refined
1b2m,3.73,general
2vta,3.73,general
3ati,3.73,general
3fjg,3.73,refined
3h91,3.73,general
3rxd,3.73,general
4fz3,3.73,refined
4y5s,3.73,general
1f5k,3.74,refined
1ihy,3.74,general
1oh4,3.74,general
2dwx,3.74,general
2wq5,3.74,refined
2xp4,3.74,general
3kpv,3.74,general
3mrv,3.74,general
3v30,3.74,general
4bv2,3.74,general
4pre,3.74,general
4yux,3.74,general
2iyf,3.75,general
2pyi,3.75,refined
3d6p,3.75,refined
3gep,3.75,general
4kov,3.75,general
