pdbid,-logKd/Ki,set
5c5t,3.13,refined
2f1a,3.14,general
2ya7,3.14,refined
3odk,3.14,general
4b34,3.14,refined
6cea,3.14,general
1e6q,3.15,refined
1eei,3.15,general
1k9q,3.15,general
1noi,3.15,general
1noj,3.15,general
1nok,3.15,general
1rin,3.15,general
2fr8,3.15,general
2p8n,3.15,general
3cgy,3.15,general
3e73,3.15,general
4de5,3.15,refined
4fzj,3.15,refined
4lw1,3.15,general
4x0z,3.15,general
5e5g,3.15,general
5flo,3.15,refined
5fnf,3.15,refined
2ymd,3.16,core
3ad8,3.16,general
3ecn,3.16,general
3f34,3.16,refined
3f35,3.16,general
3kpu,3.16,general
3lk0,3.16,general
4eh2,3.16,general
4pli,3.16,general
5n1x,3.16,general
4hnc,3.17,general
4uce,3.17,general
4x3i,3.17,general
5fot,3.17,refined
5fox,3.17,refined
5ose,3.17,refined
6cv8,3.17,general
1b9s,3.18,general
1lbk,3.18,refined
1ro7,3.18,general
2wik,3.18,general
3at1,3.18,general
3bug,3.18,refined
3kid,3.18,general
1o6i,3.19,general
2zdx,3.19,general
3dxh,3.19,general
3g1v,3.19,refined
4gzx,3.19,refined
4mlx,3.19,general
6f6i,3.19,general
1axz,3.2,general
2nd0,3.2,general
2w0x,3.2,general
2wij,3.2,general
3kab,3.2,general
4nrm,3.2,general
5cs6,3.2,refined
5d9p,3.2,general
5flp,3.2,general
5ijr,3.2,refined
1s5z,3.21,refined
3fty,3.21,general
5mwo,3.21,general
5osd,3.21,general
6tim,3.21,general
1br6,3.22,refined
1e6s,3.22,refined
1e72,3.22,general
1evh,3.22,general
1ew9,3.22,refined
1k1y,3.22,refined
1q5l,3.22,general
1qwu,3.22,general
1tog,3.22,general
1x6u,3.22,general
1zc9,3.22,refined
2bv4,3.22,general
2ri9,3.22,refined
2uy3,3.22,refined
3aru,3.22,core
3i8t,3.22,general
4n5d,3.22,refined
4tyl,3.22,general
4wn0,3.22,general
5n1y,3.22,general
5ou2,3.22,general
1px4,3.23,refined
2gmk,3.23,general
3zsy,3.23,refined
4kc4,3.23,general
4lm1,3.23,refined
4unp,3.23,refined
5ene,3.23,general
5qay,3.23,refined
2r8q,3.24,general
3qfz,3.24,refined
4b2l,3.24,refined
4k60,3.24,general
4luo,3.24,general
4qlk,3.24,refined
4y2u,3.24,general
5o0a,3.24,general
6er3,3.24,general
6g9b,3.24,general
1v2j,3.25,refined
2ndo,3.25,general
3ta1,3.25,refined
4lm0,3.25,refined
4zij,3.25,general
5oxl,3.25,general
1l5s,3.26,general
3t1l,3.26,general
4egh,3.26,general
4k66,3.26,general
4wkt,3.26,general
5yas,3.26,refined
1axr,3.27,general
3ioe,3.27,refined
4jbl,3.27,general
5jzs,3.27,general
5kdf,3.27,general
1bcu,3.28,core
1g9t,3.28,general
1x07,3.28,general
2xgs,3.28,general
3d52,3.28,refined
3ms4,3.28,general
3tfu,3.28,refined
3zsx,3.28,core
4eh7,3.28,general
4fl1,3.28,refined
4yv0,3.28,general
5moe,3.28,general
5odu,3.28,general
5yf1,3.28,general
5z4o,3.28,general
1ax1,3.29,general
4f20,3.29,general
5duw,3.29,refined
1d7j,3.3,refined
1k9r,3.3,general
1lt6,3.3,general
1o4e,3.3,general
1phw,3.3,refined
1tpw,3.3,refined
1zd2,3.3,general
1zd3,3.3,general
2aq7,3.3,general
2aqb,3.3,general
2hd1,3.3,general
2uxx,3.3,general
2vw2,3.3,refined
2w0s,3.3,general
2xml,3.3,general
3aaq,3.3,refined
3avg,3.3,general
3avh,3.3,general
3avi,3.3,general
3avj,3.3,general
3avk,3.3,general
3avm,3.3,general
3avn,3.3,general
3ch9,3.3,general
3gv6,3.3,general
3h2c,3.3,general
3hcm,3.3,refined
3i90,3.3,general
3i91,3.3,general
3l7g,3.3,general
3n1v,3.3,general
3n1w,3.3,general
3n3l,3.3,general
3n45,3.3,general
4b6f,3.3,general
4ddh,3.3,core
4gj8,3.3,general
4gj9,3.3,general
4j58,3.3,general
4jss,3.3,refined
4mrw,3.3,refined
4msa,3.3,refined
4np3,3.3,refined
4ojq,3.3,general
4oue,3.3,general
4tz8,3.3,general
4u6e,3.3,general
4ucr,3.3,general
4x13,3.3,general
5ejw,3.3,general
5g45,3.3,refined
5ggp,3.3,general
5l96,3.3,general
5mgg,3.3,general
5mgl,3.3,general
5mgm,3.3,general
5mt0,3.3,general
5mt4,3.3,general
5oul,3.3,general
5v19,3.3,general
5vdo,3.3,general
5vdr,3.3,general
5vds,3.3,general
6bsx,3.3,general
1i2s,3.31,refined
1pzp,3.31,refined
3msc,3.31,general
4kc2,3.31,general
5c7a,3.31,general
5fe7,3.31,refined
5l98,3.31,general
5os1,3.31,general
1pzo,3.32,general
2wk6,3.32,refined
4a4e,3.32,general
4cjp,3.32,refined
4i7j,3.32,refined
5l99,3.32,general
5tg4,3.32,general
6dlx,3.32,general
188l,3.33,refined
1jlr,3.33,refined
2a3b,3.33,general
2pnc,3.33,general
4ab9,3.33,refined
4b0b,3.33,refined
4b5t,3.33,refined
4b5w,3.33,refined
4k2y,3.33,general
4pd9,3.33,general
6mv3,3.33,general
2xoi,3.34,general
3f33,3.34,refined
3ry8,3.34,general
4b32,3.34,refined
4bt4,3.34,refined
4cp5,3.34,refined
4gwk,3.34,general
4yuy,3.34,general
5ehi,3.34,general
2qcm,3.35,general
3c2o,3.35,refined
3pwk,3.35,refined
3zxe,3.35,general
4gnf,3.35,general
4joh,3.35,general
4lkq,3.35,refined
4u7o,3.35,general
4ucu,3.35,general
4wet,3.35,general
5wxp,3.35,general
1ahy,3.36,general
2ha7,3.36,general
2pvv,3.36,general
2vc7,3.36,general
3av9,3.36,general
3zzh,3.36,general
4cj4,3.36,refined
4wyp,3.36,general
5orz,3.36,general
6gxw,3.36,general
187l,3.37,refined
1tnh,3.37,refined
1v2u,3.37,refined
1v2v,3.37,general
2c6g,3.37,general
2n8t,3.37,general
3d8z,3.37,refined
3n35,3.37,refined
4b33,3.37,refined
4mrd,3.37,general
1z34,3.38,general
2fzg,3.38,refined
3a73,3.38,general
3tay,3.38,refined
3w07,3.38,refined
4qll,3.38,refined
5l8o,3.38,general
1toj,3.39,general
2j9h,3.39,general
3mrx,3.39,general
4ipn,3.39,refined
4lhm,3.39,refined
4ms0,3.39,general
5jzb,3.39,general
5lsh,3.39,refined
5mxk,3.39,general
5os5,3.39,refined
1bxr,3.4,refined
1f8d,3.4,refined
1hxk,3.4,general
1ikt,3.4,refined
1il9,3.4,general
1jt1,3.4,general
1l83,3.4,refined
1m83,3.4,refined
1uz4,3.4,refined
1way,3.4,general
220l,3.4,general
223l,3.4,general
2jbu,3.4,general
2jqk,3.4,general
2q8i,3.4,general
2qcd,3.4,general
2rnx,3.4,general
3d8y,3.4,general
3jzh,3.4,refined
3k26,3.4,general
4abe,3.4,refined
5afl,3.4,general
5o4t,3.4,general
5qaw,3.4,general
5qaz,3.4,general
5uah,3.4,general
6fg6,3.4,general
2v2c,3.41,refined
3nba,3.41,general
4yas,3.41,general
6ce8,3.41,general
1hyz,3.42,general
2qtn,3.42,refined
2sim,3.42,refined
2w08,3.42,refined
3iob,3.42,refined
3kqp,3.42,general
3muk,3.42,general
3px9,3.42,general
4c71,3.42,general
4d8a,3.42,general
4llj,3.42,refined
4mi9,3.42,general
4n8q,3.42,refined
5i38,3.42,general
5yij,3.42,general
1kti,3.43,general
1ywi,3.43,general
2c57,3.43,general
2wig,3.43,general
2xog,3.43,refined
3axz,3.43,refined
3ms7,3.43,general
4k67,3.43,general
4kw6,3.43,general
5aqv,3.43,general
5ehg,3.43,general
5osl,3.43,refined
2xp5,3.44,general
3as2,3.44,general
4b4n,3.44,general
4umc,3.44,refined
5wi0,3.44,general
6exs,3.44,refined
3nik,3.45,refined
4c6z,3.45,general
5ory,3.45,general
1moq,3.46,refined
1t48,3.46,general
1wcc,3.46,general
2wi2,3.46,general
2wi3,3.46,general
3blu,3.46,general
3dla,3.46,general
3muz,3.46,refined
3nil,3.46,general
3nuy,3.46,general
4bhf,3.46,general
4gby,3.46,general
4k5p,3.46,refined
4nrq,3.46,general
4qp6,3.46,general
4tz2,3.46,refined
5qal,3.46,refined
3mtd,3.47,general
3nf7,3.47,general
3ta0,3.47,refined
4d2d,3.47,general
4epy,3.47,refined
4h42,3.47,refined
5ai4,3.47,general
5ma7,3.47,refined
1osv,3.48,general
1tsi,3.48,general
2c90,3.48,general
2f10,3.48,general
2p3i,3.48,refined
3d9m,3.48,general
3g1d,3.48,refined
3gx0,3.48,refined
3nyd,3.48,refined
4k7n,3.48,refined
5eh7,3.48,refined
5fni,3.48,general
5qaj,3.48,general
5xg5,3.48,refined
5z9e,3.48,general
1c5o,3.49,refined
1gzc,3.49,general
1pzj,3.49,general
1utn,3.49,refined
2ggx,3.49,general
2qcf,3.49,general
3d1v,3.49,general
4avs,3.49,refined
4b5s,3.49,refined
4nyj,3.49,general
5ak6,3.49,general
5eok,3.49,general
5fnd,3.49,refined
5i25,3.49,general
5ybi,3.49,general
6b0v,3.49,general
6d9x,3.49,refined
3fcl,3.5,general
4i7p,3.5,refined
4n3w,3.5,general
4wey,3.5,general
6gbe,3.5,general
1gz9,3.51,general
2ohm,3.51,general
2r0h,3.51,refined
3nus,3.51,general
4lpf,3.51,general
5aqt,3.51,general
5cp9,3.51,refined
5dtt,3.51,general
5h1u,3.51,refined
5m4q,3.51,general
5mby,3.51,refined
5orx,3.51,general
5qaf,3.51,general
1imx,3.52,general
1jys,3.52,refined
1o4d,3.52,general
1o4f,3.52,general
1ysg,3.52,general
2fyv,3.52,general
2j27,3.52,refined
2vw1,3.52,refined
3c14,3.52,general
3lcu,3.52,general
3mfw,3.52,refined
3qw6,3.52,general
3tf7,3.52,general
3zlv,3.52,general
3zly,3.52,general
4c70,3.52,general
4eky,3.52,core
4g93,3.52,general
4hv7,3.52,general
4mrz,3.52,refined
4oyo,3.52,general
4y5i,3.52,general
5mod,3.52,refined
5qa5,3.52,general
5vfn,3.52,general
6eji,3.52,general
2b4m,3.53,general
2y67,3.53,general
3avf,3.53,general
3h06,3.53,general
3nf6,3.53,general
4eh3,3.53,general
4nmr,3.53,general
4orx,3.53,general
4ory,3.53,general
185l,3.54,refined
1vjd,3.54,general
2jbv,3.54,general
2o9v,3.54,general
3blt,3.54,general
3bm8,3.54,general
3nf9,3.54,general
3obq,3.54,general
4gng,3.54,general
5ggk,3.54,general
5qaq,3.54,general
