,ids,Score,True
12499,3c45,6.7721162233528895,9.68
17209,3a2o,8.997550957956202,9.08
6913,5wtt,5.9411008620143315,6.6
7315,4fn5,9.42606397383832,6.76
11888,5lrk,8.759476647275594,8.82
2349,5n1p,4.671956463656507,4.6
3222,2vwf,4.268854042921093,5.06
1676,4yyi,5.520092491287785,4.19
7367,4wy7,4.032372524647639,6.78
8742,4eg7,6.450386973781148,7.34
9134,3l16,5.337106572884404,7.48
5262,5xyf,3.5194266945127546,5.98
16458,6g2m,11.029879986118118,7.82
16013,6hly,7.287106754438354,7.33
6536,3tnh,4.745113789333971,6.46
14285,1adl,4.346715662452247,5.36
1253,3dda,5.583996804330196,3.88
8844,4rvl,7.079480707913127,7.38
7394,3d94,11.214473513602206,6.8
8200,3gcv,9.858933091745588,7.13
10082,5e90,7.783139351710286,7.85
2701,2ly0,4.161855434844168,4.8
360,2a3a,3.8337476073070307,2.82
11152,6c4g,6.201185341260788,8.3
10531,3emg,6.219817308256112,8.05
1565,4uyd,4.880730802382242,4.1
17013,1hfs,10.14056101434091,8.7
16242,4m8h,8.477189382707074,7.6
5761,4bpi,3.0973144816063662,6.17
16666,5i3x,8.611613653534173,8.1
3457,5th7,5.0488185555261405,5.16
15159,1o5a,5.0749255343299255,6.42
9432,3fi2,6.021310924303943,7.6
17387,1bnu,5.047047963036326,9.7
7738,3rwi,9.08928098393477,6.94
7250,2cma,6.610295923122726,6.73
1350,1ai6,4.392625125462197,3.97
15931,4fm7,8.584832516083637,7.24
6680,2off,6.814891959905971,6.52
6192,4qq5,5.644204357320652,6.32
5997,4enx,6.8044610217233,6.26
549,5lzg,6.9474937798858125,3.1
6967,5yjp,7.791525588942376,6.62
1523,4jok,4.565387539112675,4.07
7255,5aly,7.6256825618420505,6.73
3886,2qaf,3.1476022716517966,5.36
13420,3d6o,4.919980170629249,4.11
5820,2gmv,7.000270771088473,6.2
7217,2x8i,7.729636343503436,6.72
3949,6baw,6.840450721788224,5.38
16148,3u92,6.261074335769813,7.48
9791,1bqo,5.446742548854107,7.74
5121,3qo9,9.703661761226703,5.92
15882,5am7,6.471441466902704,7.19
14771,1d2e,9.166787003300607,6.0
5004,5akj,4.06267262206747,5.86
8192,5xii,6.433792299399628,7.12
10207,2qk8,6.147578616339052,7.91
16028,4z93,7.923030975079154,7.35
14569,1qy2,3.8092556459207314,5.74
17617,2i4x,6.588248712872991,11.72
15573,2xnb,7.063041608603932,6.83
2429,1t49,7.15968336186596,4.66
4109,4gw5,5.72957062200738,5.46
15029,1d4p,8.056714412228505,6.3
12520,4bti,7.204281549266298,9.7
12895,4ndu,5.367940070552214,2.74
14361,5txy,4.511788222527718,5.46
3194,2n9e,2.479481419376135,5.05
5454,4ris,4.403189413706861,6.05
9594,5e1e,6.169662868272675,7.66
13906,4kwf,5.9716528428845965,4.82
13550,4k7o,2.7781262915492952,4.3
12622,5agu,8.195057693210883,10.0
15960,1kel,5.30296154867707,7.28
2433,2xg5,4.8811382609050025,4.66
12185,3qri,10.974939760576438,9.1
1392,2j9l,4.556860543481814,4.0
14146,6cbf,6.5361606969906365,5.17
4432,1lrt,6.682956890236101,5.64
5329,4fvr,7.71644209570277,6.0
10293,4bxk,6.396365381999875,7.95
10901,3vhe,10.009944628617427,8.21
7031,3uat,3.0118222751944224,6.66
6189,3qup,8.82292905177458,6.32
1062,3kd7,3.0892468028557065,3.7
2473,5j5d,0.787395074392845,4.68
3089,4mw7,5.540880284285351,5.0
12711,1dis,5.254740684592552,11.0
2031,5tus,4.220485012101025,4.43
2090,4odq,3.1201766089016223,4.47
8748,5hgq,6.425331978799763,7.34
4991,5wf3,4.974075845778298,5.85
7831,4aza,3.3547764096335997,6.99
7575,6iiv,6.430110356021228,6.85
9686,3hy5,6.432177281982139,7.7
14648,6bm5,7.611784522047527,5.84
9536,5tho,6.529300577134703,7.64
13690,1amw,6.071183847489835,4.54
4313,5gx7,8.016531593547539,5.56
15469,5odx,8.560614663158105,6.71
12971,6ftz,5.893005939655031,3.0
10775,3nww,7.100846351179333,8.15
13597,4abd,-0.8484249527655998,4.4
9877,3iop,7.200466255825904,7.77
11171,3qak,7.878529096056922,8.32
2918,4c73,6.699247822809745,4.92
7186,5tgc,6.7478391037331376,6.7
5495,4h5e,5.669770527539684,6.07
16944,3kjd,7.377051371253554,8.54
5735,5nwc,8.482501160176517,6.15
12550,5lxb,5.265682798012867,9.77
2116,5wxf,6.68459413266392,4.48
16109,1ciz,8.589129351414567,7.44
7435,4ci3,6.80835039853147,6.81
7844,1m74,5.509846761524551,7.0
8273,5mts,5.657465280152315,7.15
16588,3oy0,3.7206593463990303,8.0
1787,4wcf,4.272098894429622,4.28
8583,1shc,1.7062881265856897,7.28
4336,6faw,6.956761609194421,5.57
3109,5lpj,6.289418632280393,5.0
11310,5em6,6.862668323783841,8.4
1504,2loz,2.9885452810396282,4.06
7802,5qcm,8.389170933454016,6.96
11524,5izq,6.865216791635289,8.52
4579,2o3z,4.631440269820551,5.7
1873,4hco,2.574930430416991,4.32
15507,4f9y,7.838909310971042,6.74
110,1tnj,2.88719923392391,1.96
14969,2xda,8.557199419903695,6.22
12739,5hln,6.190561786321904,11.52
11271,3kwz,1.0566288495594702,8.4
3718,1di9,4.472724062700146,5.3
2201,3otx,12.630621538635266,4.53
5238,5uw5,5.176064148015876,5.96
12055,3tkm,7.149082031937408,9.0
11481,3t3v,7.687394007198332,8.52
15627,3hu3,8.575616545132473,6.89
3575,3nti,2.838733894725735,5.22
13879,2nta,5.823863932510951,4.8
6912,5mb1,2.910350286353487,6.6
2483,6fnt,4.8872205053993,4.68
13080,4bt4,2.4714137406254757,3.34
7310,1rw8,8.067952859119918,6.76
6670,1mqh,7.073509588470489,6.52
13925,3f70,2.443558394342208,4.85
9654,1j7z,3.470627980159594,7.7
1169,2ggd,4.169167463243526,3.8
4512,5m4k,5.467789633638884,5.66
15647,2d3u,6.691839486032281,6.92
3509,3kqs,5.0121917384983545,5.2
6799,6df1,5.037143016764855,6.56
6785,5jaz,6.957109801022962,6.55
15201,5uc4,7.9915432735971486,6.46
14507,2h15,4.253866977620281,5.67
9166,3ska,8.882781004599718,7.49
11415,5lxd,6.194436346456517,8.5
15320,5vcy,7.057011222467075,6.57
6427,1pye,6.147697149727492,6.41
5622,5dd9,6.881322515789498,6.11
1099,4tk2,3.172272033120755,3.72
16862,3qxv,5.857053281273993,8.4
16858,2zda,8.541538195956134,8.4
16921,1i5r,10.590817498664888,8.52
16014,1uw6,4.542095728284326,7.34
8521,5j9y,2.576582489518366,7.24
756,4mrd,4.335299415478174,3.37
511,1pum,4.097936305128202,3.05
15386,6elp,8.712248500319255,6.63
10013,4bgg,7.490361882264879,7.82
12406,6dry,6.971652366117127,9.43
6983,1tmm,8.381006946325249,6.64
5394,3rx7,7.030193043332654,6.03
10012,4bfp,9.069219207941396,7.82
7064,5aad,5.138874297393003,6.67
10426,4kfp,9.548501555759481,8.0
10175,5d7r,6.115056017885982,7.89
10584,1jtq,6.1565501121765625,8.07
1906,1n5z,3.651791447715717,4.36
17029,2uwo,6.208452919639481,8.7
12060,4gee,7.460728535155019,9.0
5858,4bgm,4.074451877543639,6.21
3264,5gmj,4.1855176625113915,5.08
8671,5jo0,6.216164998224822,7.3
9869,2pj7,7.123167669889836,7.77
3115,6axj,5.090490449899379,5.0
632,5ene,3.5035506287986475,3.23
10668,4nwm,10.029806379517812,8.1
5042,3f9n,5.285040782012382,5.89
16340,4cpt,8.82371433547299,7.7
9439,3kfa,11.154777135849395,7.6
6420,5vqv,5.325838492645881,6.4
14317,2qg2,7.86883158321522,5.4
2341,4dfu,4.162877785319458,4.6
15313,3ove,7.081229075392607,6.57
16720,5acy,6.961414044690669,8.19
9435,3ig6,6.796704493117295,7.6
6731,4mmf,7.797904166907774,6.53
10847,1dwd,6.650219450016484,8.18
13692,1lyx,2.713207036368371,4.54
685,3i90,4.812485203988236,3.3
6637,3qcs,6.340432439330016,6.5
1119,5a7c,3.041314863905509,3.74
8502,3qrk,8.700580369894748,7.24
16178,3rlr,7.722398398471853,7.52
5489,2wmx,4.765390407093892,6.07
781,5qaw,4.5286199636861175,3.4
17003,1i9n,3.346864305955267,8.66
1228,2vhq,6.878492531140507,3.85
1108,6g46,1.468302715946411,3.73
10846,6fjf,4.666555786145734,8.17
11674,1dmt,7.564134099894873,8.7
4181,4u7v,3.4020564149473795,5.49
2610,3kfn,7.705255507168799,4.74
17021,1xap,10.910576130653823,8.7
13641,5c3p,4.4467430256215765,4.46
11650,5f4n,6.680964047642962,8.66
6562,4zhl,10.018338274186299,6.47
5325,4bpj,4.140237908127526,6.0
3821,3ml4,4.89108024886036,5.33
3621,4drn,7.013235360449036,5.24
1698,3sov,3.7138955349212055,4.21
6312,6eab,9.459897847901003,6.37
8318,5gtr,2.416777256891673,7.17
11318,5ufi,5.785659139749566,8.4
1363,5jek,2.4879269233024446,3.98
10787,4jr5,7.869490925188415,8.15
12926,5ngz,2.7657765941412618,2.89
7205,5kls,0.42438657229707033,6.71
6835,3sd5,6.345566416716799,6.58
717,4kc2,8.521365294911098,3.31
516,4u5v,2.954792898681498,3.05
9117,5fas,0.7943144609429971,7.47
10160,4djs,3.022282846724202,7.89
771,223l,3.4990759933850586,3.4
173,5nzo,3.524627346930535,2.24
15840,1zog,4.1279845190976,7.15
1768,6mxe,6.793993041856742,4.26
14530,1jsv,4.422406639307605,5.7
3063,2bgd,7.978423109164258,5.0
10536,3ot8,7.27373470655503,8.05
13806,3ujd,4.21728461061316,4.69
7644,5jic,7.110262347223492,6.89
8575,4m6p,9.911999008082569,7.27
5254,6f09,5.233693599807774,5.97
14854,2wc3,6.336291179071413,6.08
11606,3dt1,7.480531019361183,8.62
5362,6q6y,5.935277909307244,6.0
1964,3i5r,4.030609340494602,4.4
2793,1bux,4.1628703769826805,4.85
9316,2cmf,9.169305837804945,7.55
7712,4k10,3.7867935688114587,6.92
2571,4d1a,4.93511540266561,4.72
2261,1i41,6.211727404495121,4.57
1514,2va5,5.149823819150095,4.07
5819,1wbs,10.028376570519763,6.2
11864,5vpm,6.681675247973599,8.8
3618,3rjc,6.189494985825949,5.24
6779,4x2s,3.6248325101825234,6.55
3008,2kaw,4.27835893900658,4.97
12445,2q6b,7.527603591245193,9.52
14935,3bkl,8.306086436494748,6.17
13701,3djv,5.804691156930873,4.55
4705,3qw7,6.010168785790635,5.74
17250,8cpa,4.7956979128505015,9.15
8503,3uqr,8.347876864256426,7.24
16884,4y8x,8.676821833849418,8.43
16584,3gkz,5.315681662923976,8.0
14671,4azc,5.345581710157824,5.86
1520,3mct,3.0648955998681795,4.07
7843,1lf3,6.413804606774028,7.0
8163,6axl,2.578234548619741,7.11
9578,4g8r,2.187652217038242,7.66
4038,1gja,6.943011736135446,5.42
1424,5fpp,4.974105479125408,4.0
12225,4xg9,5.9770461120585905,9.15
11414,3qd0,9.312775687837329,8.5
10958,4pdk,5.524507860007155,8.22
5172,3neg,5.868380628206737,5.94
6733,5a0e,6.353915612265002,6.53
13224,4tte,4.8245830179458356,3.69
9846,4l23,6.065190503036867,7.75
3160,4y7r,3.419954956601735,5.03
2860,3nij,3.7189257955931034,4.89
5575,4c4n,1.615306342621645,6.1
13390,5mge,4.1537655310831765,4.06
14192,5ja0,5.935070475877474,5.22
14769,1c5s,5.146593784315121,6.0
14403,4zba,7.3333940426239534,5.51
5795,2qyl,8.227069116426309,6.19
1647,5f41,5.311577444349261,4.17
6352,1a1c,4.438549405145701,6.4
3750,3jzf,7.620763426221813,5.3
1875,2xo8,-2.9851818961426586,4.33
16423,3ryj,5.4290662573030755,7.8
9900,4wsy,6.010687369365058,7.77
2097,5ifu,5.966066956954388,4.47
5785,5km1,6.644337230615177,6.18
10778,3rtp,5.131436327268427,8.15
15261,3bva,7.412107620884517,6.52
15110,2w9h,6.066486961972923,6.37
2807,3k05,5.378548808817543,4.85
8359,3f7b,5.1200793469885735,7.19
820,4bhf,4.553400850206737,3.46
1415,4usj,3.460219266987256,4.0
3805,4h2j,6.819507353718332,5.32
12757,1ndj,5.470997443463526,12.16
14898,6b4d,4.813677946209408,6.11
1525,1lb6,4.396307068840596,4.08
17287,1xow,8.92783110054348,9.28
9573,4bjx,9.307826918869981,7.66
7093,4ttv,7.13326523291752,6.68
320,3zsw,5.687024543894399,2.7
11583,5idn,8.32259221083494,8.59
3235,2i7c,8.332815715587842,5.07
347,3ftw,6.23022602142845,2.78
11900,3itz,9.557717526710649,8.85
5189,2o7v,0.3181139812243379,5.96
7111,5m0s,8.824951527714825,6.69
15839,1xr9,10.154170129001114,7.15
849,4wey,5.57901840201574,3.5
7736,4y67,6.545939701536889,6.93
9180,6b16,4.1461201275288335,7.49
8642,3hmv,8.51632762590242,7.3
5872,5m53,5.827664409277791,6.21
6198,1c29,6.004945908362523,6.33
1855,3wk8,5.182998351239582,4.31
869,3zlv,3.7007901871618705,3.52
15075,1xq0,4.4870814193748725,6.34
16404,5j9x,7.994832575126342,7.77
14035,2glp,5.68953597006196,5.01
17491,3i6o,9.393519150374917,10.35
11296,4ra5,8.394238235809802,8.4
13610,5ka9,5.21868430949663,4.41
14527,1a99,3.4413280082047204,5.7
12075,4r1v,9.066344773271739,9.0
7673,1b39,6.224743852213126,6.92
2160,2bua,4.574425709981182,4.52
5794,2p98,5.787125990431503,6.19
1989,3vb6,0.6692024694451718,4.41
5691,2k7l,0.9012167606418141,6.15
12032,2rgu,6.654175501855651,9.0
2273,4ciy,7.190205709389114,4.57
5458,5hip,4.47768024000427,6.05
15069,4zvi,4.721851611852732,6.33
4166,1tys,7.9321210043051025,5.49
12985,4lm4,4.170863972365565,3.04
13206,4aia,4.741209595852248,3.66
1615,3dz2,4.676068090567999,4.15
9567,3way,8.028318257360482,7.66
7042,4z7h,6.571661446828247,6.66
3511,3t7g,2.4614421193230083,5.2
8129,5da3,7.337335277789566,7.1
14504,5c28,4.945746365941273,5.66
15036,3ebl,9.530425214022467,6.3
9151,5tol,6.839006096116619,7.48
3032,3hrf,5.638685146421441,4.99
2859,3hfz,0.8118277690849237,4.89
5532,4cwb,6.587944971065116,6.09
14994,1wcq,6.1546609862983095,6.26
10226,2pj2,7.130279673196203,7.92
1308,3qi4,4.018933801733318,3.93
16472,2gv7,7.19480628652792,7.85
1388,1z3c,7.883277839931278,4.0
7058,6g6z,5.794623227250298,6.66
3993,3pch,1.8223619472150083,5.4
3862,3e9b,5.109959558950558,5.35
15115,2hkf,6.982838954651097,6.38
7464,3cqu,7.223320974784382,6.82
344,5oug,1.914647598451887,2.77
6975,4jg1,6.036794348168844,6.63
17417,3m36,9.5998116962802,9.82
2598,2w68,3.251207861484642,4.74
8534,4og8,6.533864112589622,7.25
371,4yz5,3.4704724050872673,2.83
2517,3tg5,6.676533862250038,4.7
6571,2f89,5.0921943673581955,6.48
14019,2oym,5.975460727988214,5.0
8050,4qmw,7.413811538343333,7.07
15168,4d3h,12.105985353065542,6.43
2222,5b56,4.878382359623785,4.54
3704,5urm,4.038410319121272,5.28
9074,3hqw,7.327200673077994,7.46
4139,2nww,3.8054181274700043,5.48
4779,3cso,7.705551840639898,5.77
5032,2ph9,-0.3764398166733183,5.89
12420,6h7y,8.104861192945249,9.46
8994,4p7s,-1.2173230825994588,7.42
6382,3szm,3.57718208802987,6.4
4218,4wz5,3.892147526123786,5.51
8136,5v86,7.990491289774749,7.1
16740,3v5t,6.192754654008032,8.22
8615,5i23,0.9296944072143885,7.29
10187,5m4i,9.068167224118994,7.89
9256,4rac,7.239278532203042,7.52
3061,1zhl,8.767329484259706,5.0
10809,5brz,7.87360255209991,8.15
1980,5mri,3.8496236730211377,4.4
6332,6m8y,-0.7593545196901407,6.38
1266,4dgb,4.147920353365757,3.89
10073,4qlv,-2.079838691915797,7.85
3775,5bwb,4.817648814722129,5.3
10914,1dtq,5.055989825526726,8.22
3067,2w6u,2.261698543129002,5.0
15921,4djx,7.208207967758354,7.23
2055,3atp,2.436972382947042,4.45
10028,5mhp,8.727620799132495,7.82
4967,3r9n,7.130205589828427,5.85
6181,5lyh,5.69415136387432,6.31
2555,5nne,3.922373540175842,4.71
13073,1jlr,4.442912915507628,3.33
7874,3m2u,5.938070852272348,7.0
544,4y2j,4.680179717479493,3.1
